email,course,item,rating
shreyamn@gmail.com,Starters,Salad,3
shreyamn@gmail.com,Starters,Soup,3
shreyamn@gmail.com,Starters,Bruschetta,3
shreyamn@gmail.com,Starters,Garlic Bread,3
shreyamn@gmail.com,Starters,Nachos,3
customer@gmail.com,Starters,🥗 Salad,4
customer@gmail.com,Starters,🍲 Soup,2
customer@gmail.com,Starters,🧄 Garlic Bread,3
customer@gmail.com,Main Course,🍚 Veg Biryani,4
customer@gmail.com,Desserts,🍮 Gulab Jamun,4
hi@gmail.com,Main Course,🍔 Burger,4
hi@gmail.com,Desserts,🍰 Cheesecake,4
hi@gmail.com,Desserts,🍮 Gulab Jamun,4
hi@gmail.com,Desserts,🍓 Fruit Salad,4
